iter	Passed	Remaining
702	1389	587
703	1392	585
704	1394	583
705	1397	582
706	1401	580
707	1403	578
708	1405	576
709	1407	574
710	1409	572
711	1410	570
712	1412	568
713	1416	567
714	1418	565
715	1419	563
716	1421	561
717	1423	558
718	1425	556
719	1427	555
720	1431	553
721	1433	551
722	1434	549
723	1436	547
724	1438	545
725	1439	543
726	1441	541
727	1443	539
728	1447	537
729	1449	535
730	1450	533
731	1452	531
732	1454	529
733	1456	527
734	1458	525
735	1461	524
736	1464	522
737	1466	520
738	1469	518
739	1471	516
740	1473	514
741	1476	513
742	1478	511
743	1480	509
744	1481	507
745	1483	505
746	1485	503
747	1487	501
748	1488	498
749	1491	497
750	1493	495
751	1494	492
752	1496	490
753	1497	488
754	1499	486
755	1500	484
756	1502	482
757	1503	480
758	1506	478
759	1508	476
760	1509	474
761	1511	471
762	1512	469
763	1514	467
764	1515	465
765	1517	463
766	1518	461
767	1522	459
768	1523	457
769	1525	455
770	1526	453
771	1528	451
772	1529	449
773	1531	447
774	1532	444
775	1533	442
776	1536	441
777	1538	438
778	1539	436
779	1541	434
780	1542	432
781	1545	430
782	1547	428
783	1549	426
784	1553	425
785	1555	423
786	1557	421
787	1559	419
788	1561	417
789	1563	415
790	1564	413
791	1567	411
792	1568	409
793	1570	407
794	1571	405
795	1573	403
796	1574	401
797	1576	399
798	1578	396
799	1579	394
800	1582	393
801	1583	391
802	1585	388
803	1586	386
804	1587	384
805	1589	382
806	1590	380
807	1592	378
808	1593	376
809	1596	374
810	1598	372
811	1599	370
812	1601	368
813	1602	366
814	1604	364
815	1607	362
816	1609	360
817	1612	358
818	1614	356
819	1615	354
820	1617	352
821	1618	350
822	1620	348
823	1621	346
824	1623	344
825	1624	342
826	1627	340
827	1629	338
828	1630	336
829	1631	334
830	1633	332
831	1634	330
832	1636	328
833	1637	326
834	1639	323
835	1642	322
836	1644	320
837	1645	318
838	1647	316
839	1648	314
840	1650	312
841	1651	309
842	1653	307
843	1654	305
844	1656	303
845	1658	301
846	1660	299
847	1662	297
848	1664	296
849	1665	293
850	1668	292
851	1669	290
852	1672	288
853	1674	286
854	1675	284
855	1677	282
856	1678	280
857	1680	278
858	1681	276
859	1684	274
860	1685	272
861	1688	270
862	1690	268
863	1691	266
864	1693	264
865	1694	262
866	1696	260
867	1697	258
868	1699	256
869	1700	254
870	1703	252
871	1704	250
872	1706	248
873	1707	246
874	1709	244
875	1710	242
876	1712	240
877	1713	238
878	1715	236
879	1717	234
880	1719	232
881	1720	230
882	1722	228
883	1723	226
884	1725	224
885	1726	222
886	1728	220
887	1729	218
888	1731	216
889	1734	214
890	1735	212
891	1737	210
892	1738	208
893	1740	206
894	1741	204
895	1743	202
896	1744	200
897	1746	198
898	1748	196
899	1750	194
900	1752	192
901	1754	190
902	1756	188
903	1806	191
904	1809	189
905	1811	187
906	1814	186
907	1816	184
908	1819	182
909	1821	180
910	1824	178
911	1828	176
912	1831	174
913	1834	172
914	1836	170
915	1839	168
916	1856	168
917	1859	166
918	1861	164
919	1864	162
920	1866	160
921	1869	158
922	1873	156
923	1875	154
924	1878	152
925	1880	150
926	1883	148
927	1907	147
928	1909	145
929	1912	143
930	1914	141
931	1917	139
932	1922	138
933	1924	135
934	1926	133
935	1929	131
936	1931	129
937	1936	127
938	1938	125
939	1944	124
940	1954	122
941	1956	120
942	1958	118
943	1959	116
944	1962	114
945	1966	112
946	1971	110
947	1974	108
948	1977	106
949	1980	104
950	1982	102
951	1985	100
952	1987	97
953	1988	95
954	1989	93
955	1991	91
956	1992	89
957	1994	87
958	1995	85
959	1997	83
960	2000	81
961	2001	79
962	2003	76
963	2004	74
964	2006	72
965	2007	70
966	2009	68
967	2010	66
968	2012	64
969	2013	62
970	2016	60
971	2018	58
972	2020	56
973	2021	53
974	2023	51
975	2025	49
976	2027	47
977	2029	45
978	2031	43
979	2033	41
980	2034	39
981	2036	37
982	2037	35
983	2039	33
984	2040	31
985	2042	29
986	2045	26
987	2047	24
988	2048	22
989	2050	20
990	2051	18
991	2053	16
992	2054	14
993	2056	12
994	2057	10
995	2059	8
996	2061	6
997	2063	4
998	2064	2
999	2066	0
